heuristic,abbreviation,classification,Lstype,Hybrid,RootLS,Initialization,Population,Evolutionary,Memory,MemoryDesc,Perturbation,Description,problem
BURER2002,BUR02,Iterated Local Search,Nonlinear optimization;AllFirst1Swap;AllFirst2Swap,Yes,AllFirst1Swap;AllFirst2Swap,EquiRandom,No,No,No,,Yes,"Starting with a random set of angles, solve a non-linear optimization to obtain a MAX-CUT solution, applying local search. Perturb solution to get new angles and repeat.",MAX-CUT
FESTA2002G,FES02G,Local Search,1Swap,No,1Swap,RandGreedy,No,No,No,,No,GRASP with local search,MAX-CUT
FESTA2002GPR,FES02GP,Path Relinking,1Swap,No,1Swap,RandGreedy,Yes,1Parent,No,,No,"Maintain a set of elite solutions, and each iteration perform path relinking to merge a new solution (generated with GRASP + local search) with a random elite solution",MAX-CUT
FESTA2002VNS,FES02V,VNS,1Swap,No,1Swap,EquiRandom,No,No,No,,No,VNS applied to random initial solutions,MAX-CUT
FESTA2002VNSPR,FES02VP,Path Relinking,VNS,Yes,1Swap,EquiRandom,Yes,1Parent,No,,No,"Maintain a set of elite solutions, and each iteration perform path relinking to merge a new solution (generated with VNS) with a random elite solution",MAX-CUT
FESTA2002GVNS,FES02GV,VNS,1Swap,No,1Swap,RandGreedy,No,No,No,,No,VNS applied to greedy random initial solutions,MAX-CUT
FESTA2002GVNSPR,FES02GVP,Path Relinking,VNS,Yes,1Swap,RandGreedy,Yes,1Parent,No,,No,"Maintain a set of elite solutions, and each iteration perform path relinking to merge a new solution (generated with GRASP + VNS) with a random elite solution",MAX-CUT
DUARTE2005,DUA05,Genetic Algorithm,VNS,Yes,1-pass 1Swap,EquiRandom,Yes,2Parent,No,,Yes,Genetic algorithm with VNS as the local search,MAX-CUT
PALUBECKIS2004bMST1,PAL04T1,Tabu Search,AllFirst1Swap,No,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,No,Tabu search wrapped in random restart,QUBO
PALUBECKIS2004bMST2,PAL04T2,Iterated Local Search,Tabu Search,Yes,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,Yes,"Tabu search, then iteratively perturb (randomized procedure to select variables followed by greedy heuristic) and correct with tabu search",QUBO
PALUBECKIS2004bMST3,PAL04T3,Tabu Search,AllFirst1Swap,No,AllFirst1Swap,RandGreedy,No,No,Yes,Tabu search,No,"Randomized procedure to get good starting locations, followed by tabu search",QUBO
PALUBECKIS2004bMST4,PAL04T4,Tabu Search,AllFirst1Swap,No,AllFirst1Swap,RandGreedy,Yes,No,Yes,Tabu search,No,"Perform tabu search, keeping track of good solutions from the search; use elite set to get good randomized starting solutions, performing tabu search to each",QUBO
PALUBECKIS2004bMST5,PAL04T5,Iterated Local Search,Tabu Search,Yes,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,Yes,"Perform tabu search, and then iteratively perturb and re-apply tabu search",QUBO
PALUBECKIS2004bSTS,PAL04MT,Tabu Search,AllFirst1Swap,No,AllFirst1Swap,EquiRandom,No,No,Yes,Tabu search,No,Tabu search wrapped in random restart,QUBO
MERZ1999GLS,MER99LS,Genetic Algorithm,AllBest1Swap,No,AllBest1Swap,EquiRandom,Yes,2Parent,No,,No,Genetic algorithm with crossover and local search but no mutation (note that local search for new offspring slightly differs from AllBest1Swap),QUBO
